AP: 10.0.0.1
STA0: 10.0.0.2
STA1: 10.0.0.3
7.7s: 	31.3242 Mbit/s (STA1)
7.8s: 	32.0307 Mbit/s (STA0)
7.8s: 	32.0307 Mbit/s (STA1)
7.9s: 	32.5018 Mbit/s (STA0)
7.9s: 	32.5018 Mbit/s (STA1)
8s: 	31.913 Mbit/s (STA0)
8s: 	31.913 Mbit/s (STA1)
8.1s: 	32.384 Mbit/s (STA0)
8.1s: 	32.384 Mbit/s (STA1)
8.2s: 	32.1485 Mbit/s (STA0)
8.2s: 	32.1485 Mbit/s (STA1)
8.3s: 	31.0886 Mbit/s (STA0)
8.3s: 	31.0886 Mbit/s (STA1)
8.4s: 	31.6774 Mbit/s (STA0)
8.4s: 	31.6774 Mbit/s (STA1)
8.5s: 	31.0886 Mbit/s (STA0)
8.5s: 	31.0886 Mbit/s (STA1)
8.6s: 	30.6176 Mbit/s (STA0)
8.6s: 	30.6176 Mbit/s (STA1)
8.7s: 	31.913 Mbit/s (STA0)
8.7s: 	31.913 Mbit/s (STA1)
8.8s: 	33.3261 Mbit/s (STA0)
8.8s: 	33.3261 Mbit/s (STA1)
8.9s: 	28.7334 Mbit/s (STA0)
8.9s: 	28.7334 Mbit/s (STA1)
9s: 	32.384 Mbit/s (STA0)
9s: 	32.384 Mbit/s (STA1)
9.1s: 	30.7354 Mbit/s (STA0)
9.1s: 	30.7354 Mbit/s (STA1)
9.2s: 	33.0906 Mbit/s (STA0)
9.2s: 	33.0906 Mbit/s (STA1)
9.3s: 	32.5018 Mbit/s (STA0)
9.3s: 	32.5018 Mbit/s (STA1)
9.4s: 	33.3261 Mbit/s (STA0)
9.4s: 	33.3261 Mbit/s (STA1)
9.5s: 	31.0886 Mbit/s (STA0)
9.5s: 	31.0886 Mbit/s (STA1)
9.6s: 	30.6176 Mbit/s (STA0)
9.6s: 	30.6176 Mbit/s (STA1)
9.7s: 	31.3242 Mbit/s (STA0)
9.7s: 	31.3242 Mbit/s (STA1)
9.8s: 	32.2662 Mbit/s (STA0)
9.8s: 	32.2662 Mbit/s (STA1)
9.9s: 	31.5597 Mbit/s (STA0)
9.9s: 	31.5597 Mbit/s (STA1)
10s: 	29.6755 Mbit/s (STA0)
10s: 	29.6755 Mbit/s (STA1)
10.1s: 	32.5018 Mbit/s (STA0)
10.1s: 	32.5018 Mbit/s (STA1)
10.2s: 	30.6176 Mbit/s (STA0)
10.2s: 	30.6176 Mbit/s (STA1)
10.3s: 	31.913 Mbit/s (STA0)
10.3s: 	31.913 Mbit/s (STA1)
10.4s: 	32.384 Mbit/s (STA0)
10.4s: 	32.384 Mbit/s (STA1)
10.5s: 	31.3242 Mbit/s (STA0)
10.5s: 	31.3242 Mbit/s (STA1)
10.6s: 	30.6176 Mbit/s (STA0)
10.6s: 	30.6176 Mbit/s (STA1)
10.7s: 	31.0886 Mbit/s (STA0)
10.7s: 	31.0886 Mbit/s (STA1)
10.8s: 	33.6794 Mbit/s (STA0)
10.8s: 	33.6794 Mbit/s (STA1)
10.9s: 	32.384 Mbit/s (STA0)
10.9s: 	32.384 Mbit/s (STA1)

Average throughput for STA 0: 31.3666 Mbit/s

Average throughput for STA 1: 31.3666 Mbit/s
